Consumer,Frequency,Gender,Age,Homesize,Work,Income,Preference,Sweetness,BITTER,Crisp,sens1,sens2,product
168,1,2,4,3,7,2,4,2,4,2,6.682682581,-2.541967427,Bolero_E
168,1,2,4,3,7,2,5,5,2,6,6.44115938,3.538032306,Bolero_L
168,1,2,4,3,7,2,4,2,2,3,-1.948242663,-4.2903897,Major_E
168,1,2,4,3,7,2,7,6,2,6,0.481107608,-1.331679381,Major_L
168,1,2,4,3,7,2,5,4,2,4,2.180890883,-4.670070418,Navar_E
168,1,2,4,3,7,2,6,6,2,5,2.078225118,3.414982277,Navar_L
168,1,2,4,3,7,2,5,3,2,5,-4.078251216,-1.249329138,Nelson_E
168,1,2,4,3,7,2,6,6,2,6,0.789331742,6.42021138,Nelson_L
168,1,2,4,3,7,2,5,4,1,5,-0.592235283,-4.415712623,Turbo_E
168,1,2,4,3,7,2,6,4,2,4,0.465522145,1.32344672,Turbo_L
168,1,2,4,3,7,2,4,2,3,3,-6.240110102,-1.115678747,Yukon_E
168,1,2,4,3,7,2,5,5,3,6,-6.260080193,4.918154752,Yukon_L
169,1,1,4,3,7,2,6,5,1,5,6.682682581,-2.541967427,Bolero_E
169,1,1,4,3,7,2,6,6,1,4,6.44115938,3.538032306,Bolero_L
169,1,1,4,3,7,2,5,2,2,3,-1.948242663,-4.2903897,Major_E
169,1,1,4,3,7,2,5,3,2,2,0.481107608,-1.331679381,Major_L
169,1,1,4,3,7,2,5,5,2,2,2.180890883,-4.670070418,Navar_E
169,1,1,4,3,7,2,5,2,2,4,2.078225118,3.414982277,Navar_L
169,1,1,4,3,7,2,5,2,2,3,-4.078251216,-1.249329138,Nelson_E
169,1,1,4,3,7,2,4,2,5,2,0.789331742,6.42021138,Nelson_L
169,1,1,4,3,7,2,6,4,1,2,-0.592235283,-4.415712623,Turbo_E
169,1,1,4,3,7,2,3,2,3,2,0.465522145,1.32344672,Turbo_L
169,1,1,4,3,7,2,6,5,1,3,-6.240110102,-1.115678747,Yukon_E
169,1,1,4,3,7,2,5,3,2,3,-6.260080193,4.918154752,Yukon_L
171,1,1,2,3,2,3,4,3,3,6,6.682682581,-2.541967427,Bolero_E
171,1,1,2,3,2,3,5,2,1,3,6.44115938,3.538032306,Bolero_L
171,1,1,2,3,2,3,4,2,3,2,-1.948242663,-4.2903897,Major_E
171,1,1,2,3,2,3,5,5,3,6,0.481107608,-1.331679381,Major_L
171,1,1,2,3,2,3,5,3,1,3,2.180890883,-4.670070418,Navar_E
171,1,1,2,3,2,3,5,2,5,4,2.078225118,3.414982277,Navar_L
171,1,1,2,3,2,3,6,6,1,6,-4.078251216,-1.249329138,Nelson_E
171,1,1,2,3,2,3,7,5,2,5,0.789331742,6.42021138,Nelson_L
171,1,1,2,3,2,3,4,2,5,2,-0.592235283,-4.415712623,Turbo_E
171,1,1,2,3,2,3,7,6,2,6,0.465522145,1.32344672,Turbo_L
171,1,1,2,3,2,3,5,4,3,5,-6.240110102,-1.115678747,Yukon_E
171,1,1,2,3,2,3,5,4,1,4,-6.260080193,4.918154752,Yukon_L
172,1,1,3,1,7,1,5,4,2,4,6.682682581,-2.541967427,Bolero_E
172,1,1,3,1,7,1,5,6,2,5,6.44115938,3.538032306,Bolero_L
172,1,1,3,1,7,1,3,3,6,3,-1.948242663,-4.2903897,Major_E
172,1,1,3,1,7,1,3,3,6,4,0.481107608,-1.331679381,Major_L
172,1,1,3,1,7,1,7,3,3,3,2.180890883,-4.670070418,Navar_E
172,1,1,3,1,7,1,4,4,5,5,2.078225118,3.414982277,Navar_L
172,1,1,3,1,7,1,6,5,2,5,-4.078251216,-1.249329138,Nelson_E
172,1,1,3,1,7,1,6,5,2,6,0.789331742,6.42021138,Nelson_L
172,1,1,3,1,7,1,3,NA,5,4,-0.592235283,-4.415712623,Turbo_E
172,1,1,3,1,7,1,5,5,3,5,0.465522145,1.32344672,Turbo_L
172,1,1,3,1,7,1,4,4,4,3,-6.240110102,-1.115678747,Yukon_E
172,1,1,3,1,7,1,6,5,2,5,-6.260080193,4.918154752,Yukon_L
173,1,1,3,1,5,3,7,4,1,3,6.682682581,-2.541967427,Bolero_E
173,1,1,3,1,5,3,5,5,1,1,6.44115938,3.538032306,Bolero_L
173,1,1,3,1,5,3,4,1,2,1,-1.948242663,-4.2903897,Major_E
173,1,1,3,1,5,3,6,5,1,2,0.481107608,-1.331679381,Major_L
173,1,1,3,1,5,3,4,2,1,2,2.180890883,-4.670070418,Navar_E
173,1,1,3,1,5,3,4,3,1,1,2.078225118,3.414982277,Navar_L
173,1,1,3,1,5,3,4,1,2,2,-4.078251216,-1.249329138,Nelson_E
173,1,1,3,1,5,3,4,1,2,1,0.789331742,6.42021138,Nelson_L
173,1,1,3,1,5,3,4,2,1,1,-0.592235283,-4.415712623,Turbo_E
173,1,1,3,1,5,3,7,6,1,2,0.465522145,1.32344672,Turbo_L
173,1,1,3,1,5,3,4,1,1,2,-6.240110102,-1.115678747,Yukon_E
173,1,1,3,1,5,3,4,3,1,2,-6.260080193,4.918154752,Yukon_L
174,1,2,4,3,5,2,6,6,1,4,6.682682581,-2.541967427,Bolero_E
174,1,2,4,3,5,2,7,3,1,3,6.44115938,3.538032306,Bolero_L
174,1,2,4,3,5,2,1,2,1,1,-1.948242663,-4.2903897,Major_E
174,1,2,4,3,5,2,6,4,1,3,0.481107608,-1.331679381,Major_L
174,1,2,4,3,5,2,1,2,1,1,2.180890883,-4.670070418,Navar_E
174,1,2,4,3,5,2,7,4,1,4,2.078225118,3.414982277,Navar_L
174,1,2,4,3,5,2,6,6,1,1,-4.078251216,-1.249329138,Nelson_E
174,1,2,4,3,5,2,4,4,1,2,0.789331742,6.42021138,Nelson_L
174,1,2,4,3,5,2,1,2,1,1,-0.592235283,-4.415712623,Turbo_E
174,1,2,4,3,5,2,5,4,1,2,0.465522145,1.32344672,Turbo_L
174,1,2,4,3,5,2,6,5,1,2,-6.240110102,-1.115678747,Yukon_E
174,1,2,4,3,5,2,6,5,1,5,-6.260080193,4.918154752,Yukon_L
175,1,2,2,3,3,3,3,3,2,3,6.682682581,-2.541967427,Bolero_E
175,1,2,2,3,3,3,6,5,1,4,6.44115938,3.538032306,Bolero_L
175,1,2,2,3,3,3,4,2,5,2,-1.948242663,-4.2903897,Major_E
175,1,2,2,3,3,3,5,5,2,5,0.481107608,-1.331679381,Major_L
175,1,2,2,3,3,3,3,5,3,3,2.180890883,-4.670070418,Navar_E
175,1,2,2,3,3,3,5,5,1,4,2.078225118,3.414982277,Navar_L
175,1,2,2,3,3,3,4,2,5,4,-4.078251216,-1.249329138,Nelson_E
175,1,2,2,3,3,3,4,6,1,5,0.789331742,6.42021138,Nelson_L
175,1,2,2,3,3,3,3,6,1,3,-0.592235283,-4.415712623,Turbo_E
175,1,2,2,3,3,3,5,3,2,3,0.465522145,1.32344672,Turbo_L
175,1,2,2,3,3,3,4,2,4,3,-6.240110102,-1.115678747,Yukon_E
175,1,2,2,3,3,3,5,4,3,2,-6.260080193,4.918154752,Yukon_L
176,1,2,3,1,2,1,7,3,4,2,6.682682581,-2.541967427,Bolero_E
176,1,2,3,1,2,1,4,5,3,3,6.44115938,3.538032306,Bolero_L
176,1,2,3,1,2,1,7,3,2,2,-1.948242663,-4.2903897,Major_E
176,1,2,3,1,2,1,6,6,2,2,0.481107608,-1.331679381,Major_L
176,1,2,3,1,2,1,7,2,2,2,2.180890883,-4.670070418,Navar_E
176,1,2,3,1,2,1,6,2,1,2,2.078225118,3.414982277,Navar_L
176,1,2,3,1,2,1,5,2,1,4,-4.078251216,-1.249329138,Nelson_E
176,1,2,3,1,2,1,6,2,2,2,0.789331742,6.42021138,Nelson_L
176,1,2,3,1,2,1,2,2,2,1,-0.592235283,-4.415712623,Turbo_E
176,1,2,3,1,2,1,5,6,3,3,0.465522145,1.32344672,Turbo_L
176,1,2,3,1,2,1,7,2,2,2,-6.240110102,-1.115678747,Yukon_E
176,1,2,3,1,2,1,6,3,2,3,-6.260080193,4.918154752,Yukon_L
177,1,2,3,1,7,2,5,3,2,3,6.682682581,-2.541967427,Bolero_E
177,1,2,3,1,7,2,4,4,3,3,6.44115938,3.538032306,Bolero_L
177,1,2,3,1,7,2,6,5,1,5,-1.948242663,-4.2903897,Major_E
177,1,2,3,1,7,2,5,3,3,3,0.481107608,-1.331679381,Major_L
177,1,2,3,1,7,2,7,5,1,6,2.180890883,-4.670070418,Navar_E
177,1,2,3,1,7,2,5,4,2,6,2.078225118,3.414982277,Navar_L
177,1,2,3,1,7,2,3,1,5,2,-4.078251216,-1.249329138,Nelson_E
177,1,2,3,1,7,2,3,5,5,6,0.789331742,6.42021138,Nelson_L
177,1,2,3,1,7,2,6,4,1,3,-0.592235283,-4.415712623,Turbo_E
177,1,2,3,1,7,2,4,3,3,5,0.465522145,1.32344672,Turbo_L
177,1,2,3,1,7,2,7,5,1,5,-6.240110102,-1.115678747,Yukon_E
177,1,2,3,1,7,2,4,2,4,3,-6.260080193,4.918154752,Yukon_L
178,1,2,3,3,7,2,4,4,2,2,6.682682581,-2.541967427,Bolero_E
178,1,2,3,3,7,2,4,4,4,4,6.44115938,3.538032306,Bolero_L
178,1,2,3,3,7,2,5,4,2,3,-1.948242663,-4.2903897,Major_E
178,1,2,3,3,7,2,5,5,2,3,0.481107608,-1.331679381,Major_L
178,1,2,3,3,7,2,5,5,2,5,2.180890883,-4.670070418,Navar_E
178,1,2,3,3,7,2,5,3,2,2,2.078225118,3.414982277,Navar_L
178,1,2,3,3,7,2,6,6,2,5,-4.078251216,-1.249329138,Nelson_E
178,1,2,3,3,7,2,3,3,6,2,0.789331742,6.42021138,Nelson_L
178,1,2,3,3,7,2,5,3,2,2,-0.592235283,-4.415712623,Turbo_E
178,1,2,3,3,7,2,6,5,1,4,0.465522145,1.32344672,Turbo_L
178,1,2,3,3,7,2,6,5,1,4,-6.240110102,-1.115678747,Yukon_E
178,1,2,3,3,7,2,6,6,1,4,-6.260080193,4.918154752,Yukon_L
179,1,2,3,1,2,2,6,5,2,4,6.682682581,-2.541967427,Bolero_E
179,1,2,3,1,2,2,6,6,2,3,6.44115938,3.538032306,Bolero_L
179,1,2,3,1,2,2,5,5,2,3,-1.948242663,-4.2903897,Major_E
179,1,2,3,1,2,2,5,4,2,3,0.481107608,-1.331679381,Major_L
179,1,2,3,1,2,2,6,5,2,5,2.180890883,-4.670070418,Navar_E
179,1,2,3,1,2,2,4,4,3,4,2.078225118,3.414982277,Navar_L
179,1,2,3,1,2,2,5,5,2,5,-4.078251216,-1.249329138,Nelson_E
179,1,2,3,1,2,2,3,2,4,3,0.789331742,6.42021138,Nelson_L
179,1,2,3,1,2,2,5,5,2,2,-0.592235283,-4.415712623,Turbo_E
179,1,2,3,1,2,2,7,6,1,4,0.465522145,1.32344672,Turbo_L
179,1,2,3,1,2,2,5,3,2,2,-6.240110102,-1.115678747,Yukon_E
179,1,2,3,1,2,2,4,4,3,3,-6.260080193,4.918154752,Yukon_L
180,1,1,3,1,3,3,5,4,3,3,6.682682581,-2.541967427,Bolero_E
180,1,1,3,1,3,3,6,5,3,5,6.44115938,3.538032306,Bolero_L
180,1,1,3,1,3,3,5,4,2,4,-1.948242663,-4.2903897,Major_E
180,1,1,3,1,3,3,4,3,2,3,0.481107608,-1.331679381,Major_L
180,1,1,3,1,3,3,4,2,4,2,2.180890883,-4.670070418,Navar_E
180,1,1,3,1,3,3,5,5,2,4,2.078225118,3.414982277,Navar_L
180,1,1,3,1,3,3,5,4,2,4,-4.078251216,-1.249329138,Nelson_E
180,1,1,3,1,3,3,6,4,2,4,0.789331742,6.42021138,Nelson_L
180,1,1,3,1,3,3,5,4,2,3,-0.592235283,-4.415712623,Turbo_E
180,1,1,3,1,3,3,5,4,3,3,0.465522145,1.32344672,Turbo_L
180,1,1,3,1,3,3,4,2,2,3,-6.240110102,-1.115678747,Yukon_E
180,1,1,3,1,3,3,6,5,3,6,-6.260080193,4.918154752,Yukon_L
181,1,2,3,3,5,2,4,2,3,3,6.682682581,-2.541967427,Bolero_E
181,1,2,3,3,5,2,5,5,2,2,6.44115938,3.538032306,Bolero_L
181,1,2,3,3,5,2,4,2,2,2,-1.948242663,-4.2903897,Major_E
181,1,2,3,3,5,2,5,4,2,3,0.481107608,-1.331679381,Major_L
181,1,2,3,3,5,2,3,2,4,3,2.180890883,-4.670070418,Navar_E
181,1,2,3,3,5,2,5,5,3,3,2.078225118,3.414982277,Navar_L
181,1,2,3,3,5,2,4,3,2,3,-4.078251216,-1.249329138,Nelson_E
181,1,2,3,3,5,2,5,4,3,5,0.789331742,6.42021138,Nelson_L
181,1,2,3,3,5,2,4,2,1,3,-0.592235283,-4.415712623,Turbo_E
181,1,2,3,3,5,2,5,3,2,3,0.465522145,1.32344672,Turbo_L
181,1,2,3,3,5,2,4,2,2,3,-6.240110102,-1.115678747,Yukon_E
181,1,2,3,3,5,2,5,5,3,3,-6.260080193,4.918154752,Yukon_L
182,1,1,3,1,7,1,6,6,1,5,6.682682581,-2.541967427,Bolero_E
182,1,1,3,1,7,1,6,3,1,3,6.44115938,3.538032306,Bolero_L
182,1,1,3,1,7,1,6,4,1,4,-1.948242663,-4.2903897,Major_E
182,1,1,3,1,7,1,5,2,1,2,0.481107608,-1.331679381,Major_L
182,1,1,3,1,7,1,6,5,1,3,2.180890883,-4.670070418,Navar_E
182,1,1,3,1,7,1,6,4,1,4,2.078225118,3.414982277,Navar_L
182,1,1,3,1,7,1,6,5,1,3,-4.078251216,-1.249329138,Nelson_E
182,1,1,3,1,7,1,6,3,1,3,0.789331742,6.42021138,Nelson_L
182,1,1,3,1,7,1,5,2,1,2,-0.592235283,-4.415712623,Turbo_E
182,1,1,3,1,7,1,6,4,1,4,0.465522145,1.32344672,Turbo_L
182,1,1,3,1,7,1,5,3,1,3,-6.240110102,-1.115678747,Yukon_E
182,1,1,3,1,7,1,7,4,1,3,-6.260080193,4.918154752,Yukon_L
183,2,2,2,3,1,1,4,2,1,2,6.682682581,-2.541967427,Bolero_E
183,2,2,2,3,1,1,5,2,1,2,6.44115938,3.538032306,Bolero_L
183,2,2,2,3,1,1,4,1,2,1,-1.948242663,-4.2903897,Major_E
183,2,2,2,3,1,1,7,2,1,2,0.481107608,-1.331679381,Major_L
183,2,2,2,3,1,1,5,1,2,1,2.180890883,-4.670070418,Navar_E
183,2,2,2,3,1,1,5,2,2,2,2.078225118,3.414982277,Navar_L
183,2,2,2,3,1,1,6,3,1,3,-4.078251216,-1.249329138,Nelson_E
183,2,2,2,3,1,1,6,3,1,4,0.789331742,6.42021138,Nelson_L
183,2,2,2,3,1,1,6,3,1,3,-0.592235283,-4.415712623,Turbo_E
183,2,2,2,3,1,1,4,2,3,1,0.465522145,1.32344672,Turbo_L
183,2,2,2,3,1,1,5,2,3,2,-6.240110102,-1.115678747,Yukon_E
183,2,2,2,3,1,1,5,3,3,4,-6.260080193,4.918154752,Yukon_L
184,1,2,3,3,4,2,3,5,4,3,6.682682581,-2.541967427,Bolero_E
184,1,2,3,3,4,2,5,5,1,4,6.44115938,3.538032306,Bolero_L
184,1,2,3,3,4,2,6,4,2,3,-1.948242663,-4.2903897,Major_E
184,1,2,3,3,4,2,5,3,1,5,0.481107608,-1.331679381,Major_L
184,1,2,3,3,4,2,4,2,1,1,2.180890883,-4.670070418,Navar_E
184,1,2,3,3,4,2,3,4,4,5,2.078225118,3.414982277,Navar_L
184,1,2,3,3,4,2,5,3,4,4,-4.078251216,-1.249329138,Nelson_E
184,1,2,3,3,4,2,3,5,5,5,0.789331742,6.42021138,Nelson_L
184,1,2,3,3,4,2,4,3,1,1,-0.592235283,-4.415712623,Turbo_E
184,1,2,3,3,4,2,3,5,3,3,0.465522145,1.32344672,Turbo_L
184,1,2,3,3,4,2,4,2,1,1,-6.240110102,-1.115678747,Yukon_E
184,1,2,3,3,4,2,5,3,3,2,-6.260080193,4.918154752,Yukon_L
185,1,2,3,1,5,3,3,4,5,2,6.682682581,-2.541967427,Bolero_E
185,1,2,3,1,5,3,4,5,2,2,6.44115938,3.538032306,Bolero_L
185,1,2,3,1,5,3,2,1,4,2,-1.948242663,-4.2903897,Major_E
185,1,2,3,1,5,3,5,5,1,2,0.481107608,-1.331679381,Major_L
185,1,2,3,1,5,3,4,4,1,1,2.180890883,-4.670070418,Navar_E
185,1,2,3,1,5,3,3,6,5,4,2.078225118,3.414982277,Navar_L
185,1,2,3,1,5,3,2,4,3,2,-4.078251216,-1.249329138,Nelson_E
185,1,2,3,1,5,3,5,5,2,4,0.789331742,6.42021138,Nelson_L
185,1,2,3,1,5,3,4,5,2,2,-0.592235283,-4.415712623,Turbo_E
185,1,2,3,1,5,3,6,5,2,5,0.465522145,1.32344672,Turbo_L
185,1,2,3,1,5,3,5,3,1,4,-6.240110102,-1.115678747,Yukon_E
185,1,2,3,1,5,3,4,6,1,3,-6.260080193,4.918154752,Yukon_L
186,1,1,4,1,5,NA,2,2,5,2,6.682682581,-2.541967427,Bolero_E
186,1,1,4,1,5,NA,4,5,3,3,6.44115938,3.538032306,Bolero_L
186,1,1,4,1,5,NA,4,2,3,2,-1.948242663,-4.2903897,Major_E
186,1,1,4,1,5,NA,7,6,1,6,0.481107608,-1.331679381,Major_L
186,1,1,4,1,5,NA,3,1,2,6,2.180890883,-4.670070418,Navar_E
186,1,1,4,1,5,NA,3,2,3,4,2.078225118,3.414982277,Navar_L
186,1,1,4,1,5,NA,4,5,3,5,-4.078251216,-1.249329138,Nelson_E
186,1,1,4,1,5,NA,3,5,2,4,0.789331742,6.42021138,Nelson_L
186,1,1,4,1,5,NA,4,5,3,3,-0.592235283,-4.415712623,Turbo_E
186,1,1,4,1,5,NA,3,2,3,3,0.465522145,1.32344672,Turbo_L
186,1,1,4,1,5,NA,2,3,6,4,-6.240110102,-1.115678747,Yukon_E
186,1,1,4,1,5,NA,6,5,1,5,-6.260080193,4.918154752,Yukon_L
187,2,2,4,1,7,2,4,2,2,1,6.682682581,-2.541967427,Bolero_E
187,2,2,4,1,7,2,6,5,1,5,6.44115938,3.538032306,Bolero_L
187,2,2,4,1,7,2,4,1,2,1,-1.948242663,-4.2903897,Major_E
187,2,2,4,1,7,2,4,2,1,3,0.481107608,-1.331679381,Major_L
187,2,2,4,1,7,2,5,2,2,2,2.180890883,-4.670070418,Navar_E
187,2,2,4,1,7,2,5,3,1,3,2.078225118,3.414982277,Navar_L
187,2,2,4,1,7,2,5,2,1,2,-4.078251216,-1.249329138,Nelson_E
187,2,2,4,1,7,2,4,1,1,1,0.789331742,6.42021138,Nelson_L
187,2,2,4,1,7,2,5,2,1,2,-0.592235283,-4.415712623,Turbo_E
187,2,2,4,1,7,2,2,1,1,1,0.465522145,1.32344672,Turbo_L
187,2,2,4,1,7,2,4,2,1,2,-6.240110102,-1.115678747,Yukon_E
187,2,2,4,1,7,2,4,2,1,2,-6.260080193,4.918154752,Yukon_L
188,1,2,3,1,1,2,5,4,4,4,6.682682581,-2.541967427,Bolero_E
188,1,2,3,1,1,2,6,5,2,4,6.44115938,3.538032306,Bolero_L
188,1,2,3,1,1,2,3,1,5,1,-1.948242663,-4.2903897,Major_E
188,1,2,3,1,1,2,4,4,1,3,0.481107608,-1.331679381,Major_L
188,1,2,3,1,1,2,4,2,1,2,2.180890883,-4.670070418,Navar_E
188,1,2,3,1,1,2,4,3,3,4,2.078225118,3.414982277,Navar_L
188,1,2,3,1,1,2,NA,3,1,2,-4.078251216,-1.249329138,Nelson_E
188,1,2,3,1,1,2,6,6,1,5,0.789331742,6.42021138,Nelson_L
188,1,2,3,1,1,2,5,5,2,4,-0.592235283,-4.415712623,Turbo_E
188,1,2,3,1,1,2,2,1,4,1,0.465522145,1.32344672,Turbo_L
188,1,2,3,1,1,2,4,6,1,2,-6.240110102,-1.115678747,Yukon_E
188,1,2,3,1,1,2,5,6,2,3,-6.260080193,4.918154752,Yukon_L
189,1,1,4,1,7,2,7,5,1,4,6.682682581,-2.541967427,Bolero_E
189,1,1,4,1,7,2,6,6,1,4,6.44115938,3.538032306,Bolero_L
189,1,1,4,1,7,2,4,4,2,2,-1.948242663,-4.2903897,Major_E
189,1,1,4,1,7,2,4,2,2,2,0.481107608,-1.331679381,Major_L
189,1,1,4,1,7,2,4,3,1,4,2.180890883,-4.670070418,Navar_E
189,1,1,4,1,7,2,5,4,1,2,2.078225118,3.414982277,Navar_L
189,1,1,4,1,7,2,5,2,1,3,-4.078251216,-1.249329138,Nelson_E
189,1,1,4,1,7,2,7,4,1,5,0.789331742,6.42021138,Nelson_L
189,1,1,4,1,7,2,7,3,1,2,-0.592235283,-4.415712623,Turbo_E
189,1,1,4,1,7,2,7,4,1,4,0.465522145,1.32344672,Turbo_L
189,1,1,4,1,7,2,6,4,1,4,-6.240110102,-1.115678747,Yukon_E
189,1,1,4,1,7,2,6,5,1,3,-6.260080193,4.918154752,Yukon_L
191,2,1,4,1,5,1,5,2,3,2,6.682682581,-2.541967427,Bolero_E
191,2,1,4,1,5,1,5,3,2,3,6.44115938,3.538032306,Bolero_L
191,2,1,4,1,5,1,4,2,3,2,-1.948242663,-4.2903897,Major_E
191,2,1,4,1,5,1,4,2,3,3,0.481107608,-1.331679381,Major_L
191,2,1,4,1,5,1,4,2,3,3,2.180890883,-4.670070418,Navar_E
191,2,1,4,1,5,1,5,3,2,3,2.078225118,3.414982277,Navar_L
191,2,1,4,1,5,1,4,2,3,2,-4.078251216,-1.249329138,Nelson_E
191,2,1,4,1,5,1,5,3,2,3,0.789331742,6.42021138,Nelson_L
191,2,1,4,1,5,1,4,3,3,3,-0.592235283,-4.415712623,Turbo_E
191,2,1,4,1,5,1,5,3,2,3,0.465522145,1.32344672,Turbo_L
191,2,1,4,1,5,1,4,2,3,2,-6.240110102,-1.115678747,Yukon_E
191,2,1,4,1,5,1,5,3,3,3,-6.260080193,4.918154752,Yukon_L
192,2,2,4,1,1,NA,5,3,3,2,6.682682581,-2.541967427,Bolero_E
192,2,2,4,1,1,NA,5,4,3,2,6.44115938,3.538032306,Bolero_L
192,2,2,4,1,1,NA,3,1,3,1,-1.948242663,-4.2903897,Major_E
192,2,2,4,1,1,NA,4,1,4,1,0.481107608,-1.331679381,Major_L
192,2,2,4,1,1,NA,4,2,3,1,2.180890883,-4.670070418,Navar_E
192,2,2,4,1,1,NA,5,2,4,2,2.078225118,3.414982277,Navar_L
192,2,2,4,1,1,NA,4,2,3,2,-4.078251216,-1.249329138,Nelson_E
192,2,2,4,1,1,NA,5,5,3,4,0.789331742,6.42021138,Nelson_L
192,2,2,4,1,1,NA,4,2,3,4,-0.592235283,-4.415712623,Turbo_E
192,2,2,4,1,1,NA,5,3,3,2,0.465522145,1.32344672,Turbo_L
192,2,2,4,1,1,NA,5,2,3,2,-6.240110102,-1.115678747,Yukon_E
192,2,2,4,1,1,NA,5,3,2,2,-6.260080193,4.918154752,Yukon_L
193,1,2,3,3,4,4,3,3,6,4,6.682682581,-2.541967427,Bolero_E
193,1,2,3,3,4,4,5,4,3,5,6.44115938,3.538032306,Bolero_L
193,1,2,3,3,4,4,4,2,3,3,-1.948242663,-4.2903897,Major_E
193,1,2,3,3,4,4,4,2,2,3,0.481107608,-1.331679381,Major_L
193,1,2,3,3,4,4,4,5,5,5,2.180890883,-4.670070418,Navar_E
193,1,2,3,3,4,4,5,5,3,5,2.078225118,3.414982277,Navar_L
193,1,2,3,3,4,4,5,4,3,3,-4.078251216,-1.249329138,Nelson_E
193,1,2,3,3,4,4,6,4,3,5,0.789331742,6.42021138,Nelson_L
193,1,2,3,3,4,4,4,4,5,3,-0.592235283,-4.415712623,Turbo_E
193,1,2,3,3,4,4,4,4,3,2,0.465522145,1.32344672,Turbo_L
193,1,2,3,3,4,4,2,2,2,2,-6.240110102,-1.115678747,Yukon_E
193,1,2,3,3,4,4,5,4,3,5,-6.260080193,4.918154752,Yukon_L
194,4,2,1,1,6,1,4,3,2,3,6.682682581,-2.541967427,Bolero_E
194,4,2,1,1,6,1,4,5,3,3,6.44115938,3.538032306,Bolero_L
194,4,2,1,1,6,1,4,4,1,2,-1.948242663,-4.2903897,Major_E
194,4,2,1,1,6,1,4,5,1,4,0.481107608,-1.331679381,Major_L
194,4,2,1,1,6,1,4,5,2,4,2.180890883,-4.670070418,Navar_E
194,4,2,1,1,6,1,5,4,3,5,2.078225118,3.414982277,Navar_L
194,4,2,1,1,6,1,4,5,1,4,-4.078251216,-1.249329138,Nelson_E
194,4,2,1,1,6,1,4,3,4,4,0.789331742,6.42021138,Nelson_L
194,4,2,1,1,6,1,4,4,3,3,-0.592235283,-4.415712623,Turbo_E
194,4,2,1,1,6,1,4,3,2,2,0.465522145,1.32344672,Turbo_L
194,4,2,1,1,6,1,4,3,2,4,-6.240110102,-1.115678747,Yukon_E
194,4,2,1,1,6,1,6,6,1,5,-6.260080193,4.918154752,Yukon_L
195,1,1,1,3,1,2,6,5,2,6,6.682682581,-2.541967427,Bolero_E
195,1,1,1,3,1,2,6,6,2,4,6.44115938,3.538032306,Bolero_L
195,1,1,1,3,1,2,5,5,3,5,-1.948242663,-4.2903897,Major_E
195,1,1,1,3,1,2,4,2,6,4,0.481107608,-1.331679381,Major_L
195,1,1,1,3,1,2,6,5,3,5,2.180890883,-4.670070418,Navar_E
195,1,1,1,3,1,2,4,5,2,5,2.078225118,3.414982277,Navar_L
195,1,1,1,3,1,2,5,4,2,6,-4.078251216,-1.249329138,Nelson_E
